environment;year;tab;i_min;i_max;step
PROD;2024;Open Data in Europe;0;7;2
PROD;2025;Open Data in Europe;0;7;2
PROD;2024;Dimensions;8;11;2
PROD;2025;Dimensions;8;11;2
PROD;2024;Country profiles;12;15;2
PROD;2025;Country profiles;12;15;2
PROD;2024;Previous editions;0;1;1
PROD;2025;Previous editions;0;1;1
DEV;2024;Open Data in Europe;0;7;2
DEV;2025;Open Data in Europe;0;7;2
DEV;2024;Dimensions;8;11;2
DEV;2025;Dimensions;8;11;2
DEV;2024;Country profiles;12;15;2
DEV;2025;Country profiles;12;15;2
DEV;2024;Previous editions;0;1;1
DEV;2025;Previous editions;0;1;1

